E69	11CO
E70	11CO
E82	11CO
E84	11CO
E92	11CO
E94	11CO
F10	11CO
F19	11CO
F20	11CO
F21	11CO
F22	11CO
F9	11CO
E59	12AZ
E60	12AZ
E65	12AZ
E67	12AZ
E68	12AZ
E77	12AZ
E78	12AZ
F15	12AZ
F16	12AZ
F17	12AZ
F18	12AZ
F23	12AZ
F24	12AZ
F4	12AZ
F5	12AZ
H65_rep	18TX
H66_rep	18TX
E1	1WY
E13	1WY
E15_rep	1WY
E25	1WY
E26	1WY
E27	1WY
E28	1WY
E3	1WY
E35	1WY
E36	1WY
E37	1WY
E38	1WY
E4	1WY
E47	1WY
E48	1WY
E49	1WY
E50	1WY
F91_2019	28NM
G17_rep	28NM
G18_rep	28NM
G7_rep	28NM
G8_rep	28NM
H8_rep	28NM
G89	2CO
G90	2CO
G92	2CO
H13	2CO
H14	2CO
H15	2CO
H16	2CO
H29	2CO
H30	2CO
H31	2CO
H32	2CO
H4	2CO
H43	2CO
H44	2CO
H45	2CO
H46	2CO
H5	2CO
H6	2CO
H7	2CO
E95	31NV
F1	31NV
F11	31NV
F12	31NV
F13	31NV
F14	31NV
F2	31NV
E10	32UT
E11	32UT
E12	32UT
E21	32UT
E22	32UT
E23	32UT
E24_rep	32UT
E31	32UT
E32	32UT
E33	32UT
E34	32UT
E43	32UT
E44	32UT
E45	32UT
E46	32UT
E55	32UT
E56	32UT
E57	32UT
E58	32UT
E9	32UT
E61	33NV
E62	33NV
E63	33NV
E64	33NV
E75	33NV
E76	33NV
E85	33NV
E86	33NV
E87	33NV
E17	34UT
E18	34UT
E19	34UT
E20	34UT
E39	34UT
E40	34UT
E41	34UT
E42	34UT
E5	34UT
E51	34UT
E52	34UT
E53	34UT
E54	34UT
E7	34UT
E8	34UT
E90	34UT
H37	4CO
H38	4CO
H39	4CO
H40	4CO
H51	4CO
H52	4CO
H53	4CO
H54	4CO
H59	4CO
H60	4CO
H62	4CO
F25	5CO
F26	5CO
F27	5CO
F28	5CO
F37	5CO
F38	5CO
F39	5CO
F49	5CO
F50	5CO
F51	5CO
F52	5CO
F59	5CO
F60	5CO
F61	5CO
F62	5CO
F71	5CO
F72	5CO
F73	5CO
F74	5CO
G47_rep	6KS
